4 #UTIL: 77
34 #UTIL: 70
15 #UTIL: 63
21 #UTIL: 56
20 #UTIL: 56
11 #UTIL: 72
6 #UTIL: 108
6 38 #UTIL: 118
9 10 #UTIL: 88
4 5 #UTIL: 92
4 7 #UTIL: 84
4 6 #UTIL: 85
6 29 31 36 #UTIL: 117
29 31 34 36 #UTIL: 111
11 28 31 36 #UTIL: 107
6 28 31 36 #UTIL: 111
28 31 34 36 #UTIL: 105
11 27 31 36 #UTIL: 113
6 27 31 36 #UTIL: 117
27 31 34 36 #UTIL: 111
3 11 31 36 #UTIL: 56
3 31 34 36 #UTIL: 108
7 11 31 36 #UTIL: 57
6 11 31 36 #UTIL: 179
11 31 35 36 #UTIL: 107
11 31 34 36 #UTIL: 173
11 31 33 36 #UTIL: 111
11 31 32 36 #UTIL: 106
6 7 31 36 #UTIL: 55
7 31 34 36 #UTIL: 109
6 31 35 36 #UTIL: 111
6 31 34 36 #UTIL: 177
6 31 33 36 #UTIL: 115
31 34 35 36 #UTIL: 105
31 33 34 36 #UTIL: 109
31 32 34 36 #UTIL: 104
29 30 35 36 #UTIL: 77
27 29 30 36 #UTIL: 83
28 29 30 36 #UTIL: 77
11 29 30 36 #UTIL: 145
7 29 30 36 #UTIL: 81
6 29 30 36 #UTIL: 149
3 29 30 36 #UTIL: 80
29 30 34 36 #UTIL: 143
29 30 33 36 #UTIL: 81
29 30 32 36 #UTIL: 76
28 30 35 36 #UTIL: 71
27 28 30 36 #UTIL: 77
11 28 30 36 #UTIL: 139
7 28 30 36 #UTIL: 75
6 28 30 36 #UTIL: 143
3 28 30 36 #UTIL: 74
28 30 34 36 #UTIL: 137
28 30 33 36 #UTIL: 75
28 30 32 36 #UTIL: 70
11 30 35 36 #UTIL: 139
11 27 30 36 #UTIL: 145
7 11 30 36 #UTIL: 89
6 11 30 36 #UTIL: 211
3 11 30 36 #UTIL: 88
11 30 34 36 #UTIL: 205
11 30 33 36 #UTIL: 143
11 30 32 36 #UTIL: 138
7 30 35 36 #UTIL: 75
7 27 30 36 #UTIL: 81
6 7 30 36 #UTIL: 87
3 7 30 36 #UTIL: 71
7 30 34 36 #UTIL: 141
7 30 33 36 #UTIL: 79
7 30 32 36 #UTIL: 74
6 27 30 36 #UTIL: 149
6 30 35 36 #UTIL: 143
3 6 30 36 #UTIL: 78
6 30 34 36 #UTIL: 209
6 30 33 36 #UTIL: 147
6 30 32 36 #UTIL: 142
27 30 33 36 #UTIL: 81
3 30 33 36 #UTIL: 78
30 33 34 36 #UTIL: 141
30 33 35 36 #UTIL: 75
30 32 33 36 #UTIL: 74
3 30 32 36 #UTIL: 73
30 32 34 36 #UTIL: 136
30 32 35 36 #UTIL: 70
27 30 32 36 #UTIL: 76
3 30 35 36 #UTIL: 74
3 30 34 36 #UTIL: 140
3 27 30 36 #UTIL: 80
30 34 35 36 #UTIL: 137
27 30 34 36 #UTIL: 143
27 30 35 36 #UTIL: 77
11 28 29 36 #UTIL: 113
6 28 29 36 #UTIL: 117
28 29 34 36 #UTIL: 111
11 29 35 36 #UTIL: 113
11 27 29 36 #UTIL: 119
7 11 29 36 #UTIL: 63
6 11 29 36 #UTIL: 185
3 11 29 36 #UTIL: 62
11 29 34 36 #UTIL: 179
11 29 33 36 #UTIL: 117
11 29 32 36 #UTIL: 112
7 27 29 36 #UTIL: 55
6 7 29 36 #UTIL: 61
7 29 34 36 #UTIL: 115
7 29 33 36 #UTIL: 53
6 27 29 36 #UTIL: 123
6 29 35 36 #UTIL: 117
3 6 29 36 #UTIL: 52
6 29 34 36 #UTIL: 183
6 29 33 36 #UTIL: 121
6 29 32 36 #UTIL: 116
27 29 33 36 #UTIL: 55
3 29 33 36 #UTIL: 52
29 33 34 36 #UTIL: 115
29 32 34 36 #UTIL: 110
3 29 34 36 #UTIL: 114
3 27 29 36 #UTIL: 54
29 34 35 36 #UTIL: 111
27 29 34 36 #UTIL: 117
11 28 35 36 #UTIL: 107
11 27 28 36 #UTIL: 113
7 11 28 36 #UTIL: 57
6 11 28 36 #UTIL: 179
3 11 28 36 #UTIL: 56
11 28 34 36 #UTIL: 173
11 28 33 36 #UTIL: 111
11 28 32 36 #UTIL: 106
6 7 28 36 #UTIL: 55
7 28 34 36 #UTIL: 109
6 27 28 36 #UTIL: 117
6 28 35 36 #UTIL: 111
6 28 34 36 #UTIL: 177
6 28 33 36 #UTIL: 115
28 33 34 36 #UTIL: 109
28 32 34 36 #UTIL: 104
3 28 34 36 #UTIL: 108
28 34 35 36 #UTIL: 105
27 28 34 36 #UTIL: 111
3 11 27 36 #UTIL: 62
7 11 27 36 #UTIL: 63
6 11 27 36 #UTIL: 185
11 27 35 36 #UTIL: 113
11 27 34 36 #UTIL: 179
11 27 33 36 #UTIL: 117
11 27 32 36 #UTIL: 112
6 7 27 36 #UTIL: 61
7 27 34 36 #UTIL: 115
7 27 33 36 #UTIL: 53
3 6 27 36 #UTIL: 52
6 27 35 36 #UTIL: 117
6 27 34 36 #UTIL: 183
6 27 33 36 #UTIL: 121
6 27 32 36 #UTIL: 116
27 32 34 36 #UTIL: 110
27 34 35 36 #UTIL: 111
3 27 34 36 #UTIL: 114
27 33 34 36 #UTIL: 115
3 27 33 36 #UTIL: 52
3 7 11 36 #UTIL: 53
3 6 11 36 #UTIL: 60
3 11 35 36 #UTIL: 56
3 11 34 36 #UTIL: 122
3 11 33 36 #UTIL: 60
3 11 32 36 #UTIL: 55
3 7 34 36 #UTIL: 105
3 6 34 36 #UTIL: 112
3 34 35 36 #UTIL: 108
3 33 34 36 #UTIL: 112
3 32 34 36 #UTIL: 107
6 7 11 36 #UTIL: 69
7 11 35 36 #UTIL: 57
7 11 34 36 #UTIL: 123
7 11 33 36 #UTIL: 61
7 11 32 36 #UTIL: 56
6 11 35 36 #UTIL: 179
6 11 34 36 #UTIL: 245
6 11 33 36 #UTIL: 183
6 11 32 36 #UTIL: 178
11 34 35 36 #UTIL: 173
11 33 35 36 #UTIL: 111
11 32 35 36 #UTIL: 106
11 33 34 36 #UTIL: 177
11 32 34 36 #UTIL: 172
11 32 33 36 #UTIL: 110
6 7 35 36 #UTIL: 55
6 7 34 36 #UTIL: 121
6 7 33 36 #UTIL: 59
7 34 35 36 #UTIL: 109
7 33 34 36 #UTIL: 113
7 32 34 36 #UTIL: 108
6 34 35 36 #UTIL: 177
6 33 35 36 #UTIL: 115
6 33 34 36 #UTIL: 181
6 32 34 36 #UTIL: 176
6 32 33 36 #UTIL: 114
33 34 35 36 #UTIL: 109
32 34 35 36 #UTIL: 104
32 33 34 36 #UTIL: 108
29 30 31 35 #UTIL: 54
11 30 31 35 #UTIL: 116
7 30 31 35 #UTIL: 52
6 30 31 35 #UTIL: 120
27 30 31 35 #UTIL: 54
30 31 34 35 #UTIL: 114
30 31 33 35 #UTIL: 52
11 29 31 35 #UTIL: 90
6 29 31 35 #UTIL: 94
29 31 34 35 #UTIL: 88
6 28 31 35 #UTIL: 88
11 28 31 35 #UTIL: 84
28 31 34 35 #UTIL: 82
11 27 31 35 #UTIL: 90
6 11 31 35 #UTIL: 156
11 31 34 35 #UTIL: 150
7 31 34 35 #UTIL: 86
6 27 31 35 #UTIL: 94
6 31 34 35 #UTIL: 154
31 32 34 35 #UTIL: 81
27 31 34 35 #UTIL: 88
3 31 34 35 #UTIL: 85
31 33 34 35 #UTIL: 86
3 29 30 35 #UTIL: 57
28 29 30 35 #UTIL: 54
11 29 30 35 #UTIL: 122
7 29 30 35 #UTIL: 58
6 29 30 35 #UTIL: 126
27 29 30 35 #UTIL: 60
29 30 34 35 #UTIL: 120
29 30 33 35 #UTIL: 58
29 30 32 35 #UTIL: 53
27 28 30 35 #UTIL: 54
7 28 30 35 #UTIL: 52
6 28 30 35 #UTIL: 120
11 28 30 35 #UTIL: 116
28 30 34 35 #UTIL: 114
28 30 33 35 #UTIL: 52
11 27 30 35 #UTIL: 122
7 11 30 35 #UTIL: 66
6 11 30 35 #UTIL: 188
